,textname,word,tfidf_score
571,1954_Eisenhower,fiscal year,0.1785691240938209
572,1970_Nixon,people world,0.17855554220046893
573,1902_Roosevelt,wage worker,0.17851755334609049
574,1848_Polk,protective tariff,0.17836452369283842
575,2018_Trump,immigration system,0.17804595464469328
576,1791_Washington,important object,0.17800052288265694
577,1800_Adams,treaty amity,0.17779630686863793
578,1899_McKinley,puerto rico,0.17775420279460707
579,2017_Trump,american company,0.17767227311037528
580,2017_Trump,loved one,0.17767227311037528
581,1977_Ford,energy independence,0.17761162651984258
582,1934_Roosevelt,people money,0.17750123726739633
583,1953_Truman,war ii,0.17725093731581412
584,1953_Truman,world war ii,0.17725093731581412
585,1922_Harding,might well,0.1772142399062903
586,1801_Jefferson,able announce,0.17719702548316035
587,1911_Taft,restraint trade,0.1771653592116779
